Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Attendance;Top Team Scorer;Goalkeeper;Notes
W;Barcelona;13;11;0;2;31;11;20;33;89,813;Lionel Messi, Neymar - 10;Marc-André ter Stegen;→ Champions League via playoff win
F;Juventus;13;7;3;3;17;10;7;24;35,985;Carlos Tevez - 7;Gianluigi Buffon;
SF;Real Madrid;12;8;2;2;24;9;15;26;71,579;Cristiano Ronaldo - 10;Iker Casillas;
SF;Bayern Munich;12;8;1;3;33;13;20;25;69;Thomas Müller - 7;Manuel Neuer;
QF;Porto;12;8;3;1;28;12;16;27;35,865;Jackson Martínez - 7;Fabiano;
QF;Atletico Madrid;10;5;2;3;15;5;10;17;43,954;Mario Mandžukić - 5;Miguel Ángel Moyá;
QF;Monaco;10;4;3;3;7;5;2;15;13,275;Aymen Abdennour, Dimitar Berbatov... - 1;Danijel Subašić;
QF;Paris S-G;10;4;3;3;14;15;-1;15;46,077;Edinson Cavani - 6;Salvatore Sirigu;
R16;Arsenal;10;6;2;2;19;11;8;20;59,861;Danny Welbeck, Alexis Sánchez... - 3;Wojciech Szczęsny;
R16;Leverkusen;10;6;1;3;15;7;8;19;26,941;Son Heung-min - 3;Bernd Leno;
R16;Chelsea;8;4;4;0;20;6;14;16;39,851;Eden Hazard - 3;Thibaut Courtois;
R16;Dortmund;8;4;1;3;15;9;6;13;65,851;Ciro Immobile - 4;Roman Weidenfeller;
R16;Schalke 04;8;3;2;3;13;19;-6;11;51,706;Klaas-Jan Huntelaar - 5;Ralf Fährmann;
R16;Shakhtar;8;2;4;2;15;11;4;10;32,516;Luiz Adriano - 9;Andriy Pyatov;
R16;Manchester City;8;2;2;4;10;11;-1;8;43,06;Sergio Agüero - 6;Joe Hart;
R16;Basel;8;2;2;4;8;13;-5;8;35,434;Derlis González - 3;Tomáš Vaclík;
GR;Zenit;10;5;1;4;11;7;4;16;14,983;Danny, Hulk... - 1;Yuri Lodygin;
GR;NK Maribor;12;3;6;3;11;16;-5;15;12,554;Damjan Bohar, Agim Ibraimi... - 1;Jasmin Handanović;
GR;Ludogorets;12;3;4;5;13;18;-5;13;35,925;Dani Abalo - 2;Vladislav Stoyanov;
GR;Malmö;12;4;1;7;13;21;-8;13;20,5;Markus Rosenberg - 3;Robin Olsen;
GR;BATE Borisov;12;3;3;6;10;28;-18;12;11,382;Alyaksandr Karnitsky, Dzyanis Palyakow - 1;Sergei Chernik;
GR;Athletic Club;8;3;2;3;9;8;1;11;46,031;Mikel San José - 2;Gorka Iraizoz;
GR;Olympiacos;6;3;0;3;10;13;-3;9;30,306;Ibrahim Afellay, Kostas Mitroglou - 2;Roberto;
GR;APOEL FC;10;2;3;5;10;15;-5;9;18,825;Gustavo Manduca - 1;Urko Pardo;
GR;Sporting CP;6;2;1;3;12;12;0;7;36,315;Nani - 4;Rui Patrício;
GR;Anderlecht;6;1;3;2;8;10;-2;6;19,462;Aleksandar Mitrović, Chancel Mbemba... - 2;Silvio Proto;
GR;Ajax;6;1;2;3;8;10;-2;5;51,447;Lasse Schöne - 3;Jasper Cillessen;
GR;Liverpool;6;1;2;3;5;9;-4;5;43,372;Steven Gerrard - 2;Simon Mignolet;
GR;Benfica;6;1;2;3;2;6;-4;5;28,474;Eduardo Salvio, Talisca - 1;Júlio César;
GR;Roma;6;1;2;3;8;14;-6;5;55,183;Gervinho - 3;Morgan De Sanctis;
GR;CSKA Moscow;6;1;2;3;6;13;-7;5;28,5;Seydou Doumbia - 3;Igor Akinfeev;
GR;Galatasaray;6;0;1;5;4;19;-15;1;28,489;Burak Yılmaz - 2;Fernando Muslera;

