Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper;Notes
W;Bayern Munich;11;11;0;0;43;8;35;33;35.5;10.2;+25.3;+2.30;50;Robert Lewandowski - 15;Manuel Neuer;
F;Paris S-G;11;8;1;2;25;6;19;25;26.2;12.3;+13.9;+1.27;28,058;Mauro Icardi, Kylian Mbappé - 5;Keylor Navas;
SF;RB Leipzig;10;6;2;2;16;12;4;20;18.0;13.0;+5.0;+0.50;32,347;Timo Werner, Marcel Sabitzer... - 4;Péter Gulácsi;
SF;Lyon;10;4;2;4;14;14;0;14;12.7;18.4;-5.7;-0.57;41,78;Memphis - 6;Anthony Lopes;
QF;Manchester City;9;6;2;1;21;9;12;20;25.1;7.9;+17.2;+1.91;37,594;Raheem Sterling, Gabriel Jesus - 6;Ederson;
QF;Barcelona;9;5;3;1;15;14;1;18;14.4;17.9;-3.5;-0.39;60,809;Luis Suárez - 5;Marc-André ter Stegen;
QF;Atletico Madrid;9;5;1;3;13;9;4;16;15.3;9.1;+6.1;+0.68;62,232;Álvaro Morata, João Félix - 3;Jan Oblak;
QF;Atalanta;9;4;1;4;17;18;-1;13;17.7;18.9;-1.2;-0.14;32,77;Josip Iličić - 5;Pierluigi Gollini;
R16;Juventus;8;6;1;1;14;6;8;19;12.0;10.9;+1.2;+0.15;28,39;Cristiano Ronaldo - 4;Wojciech Szczęsny;
R16;Napoli;8;3;4;1;13;8;5;13;14.9;11.0;+3.9;+0.48;34,598;Dries Mertens - 6;Alex Meret;
R16;Liverpool;8;4;1;3;15;12;3;13;16.2;8.8;+7.4;+0.92;52,312;Mohamed Salah - 4;Alisson;
R16;Dortmund;8;4;1;3;10;11;-1;13;14.4;13.1;+1.4;+0.17;65,844;Achraf Hakimi - 4;Roman Bürki;
R16;Real Madrid;8;3;2;3;16;12;4;11;16.6;13.7;+2.8;+0.36;70,438;Karim Benzema - 5;Thibaut Courtois;
R16;Valencia;8;3;2;3;13;15;-2;11;14.7;15.7;-1.0;-0.13;31,599;Rodrigo, Denis Cheryshev... - 2;Jasper Cillessen;
R16;Chelsea;8;3;2;3;12;16;-4;11;17.5;12.7;+4.7;+0.59;38,845;Tammy Abraham - 3;Kepa Arrizabalaga;
R16;Tottenham;8;3;1;4;18;18;0;10;14.5;11.2;+3.3;+0.42;57,247;Harry Kane - 6;Hugo Lloris, Paulo Gazzaniga;
GR;Ajax;6;3;1;2;12;6;6;10;7.5;13.8;-6.3;-1.05;51,951;Quincy Promes - 4;André Onana;
GR;RB Salzburg;6;2;1;3;16;13;3;7;13.7;11.9;+1.8;+0.30;29,52;Erling Haaland - 8;Cican Stankovic;
GR;Inter;6;2;1;3;10;9;1;7;10.0;10.3;-0.3;-0.05;62,54;Lautaro Martínez - 5;Samir Handanović;
GR;Benfica;6;2;1;3;10;11;-1;7;8.1;9.4;-1.3;-0.22;46,576;Pizzi - 3;Odisseas Vlachodimos;
GR;Zenit;6;2;1;3;7;9;-2;7;6.1;9.5;-3.3;-0.55;51,106;Sardar Azmoun, Artem Dzyuba - 2;Mikhail Kerzhakov;
GR;Leverkusen;6;2;0;4;5;9;-4;6;6.7;6.8;0.0;-0.01;28,098;Sven Bender, Kevin Volland - 1;Lukáš Hrádecký;
GR;Shakhtar;6;1;3;2;8;13;-5;6;8.3;13.1;-4.8;-0.81;28,246;Júnior Moraes, Manor Solomon - 2;Andriy Pyatov;
GR;Dinamo Zagreb;6;1;2;3;10;13;-3;5;7.5;16.3;-8.8;-1.46;28,855;Mislav Oršić - 4;Dominik Livaković;
GR;Olympiacos;6;1;1;4;8;14;-6;4;7.9;12.1;-4.3;-0.71;31,523;Youssef El-Arabi - 3;José Sá;
GR;Loko Moscow;6;1;0;5;4;11;-7;3;6.0;13.1;-7.0;-1.17;26,557;Aleksei Miranchuk - 2;Guilherme Marinato;
GR;Club Brugge;6;0;3;3;4;12;-8;3;7.4;10.4;-3.0;-0.51;26,957;Emmanuel Dennis - 2;Simon Mignolet;
GR;Red Star;6;1;0;5;3;20;-17;3;4.0;19.8;-15.8;-2.64;43,263;Richmond Boakye, Nemanja Milunović... - 1;Milan Borjan;
GR;Slavia Prague;6;0;2;4;4;10;-6;2;9.4;12.2;-2.8;-0.46;19,303;Tomáš Souček - 2;Ondřej Kolář;
GR;Galatasaray;6;0;2;4;1;14;-13;2;4.2;16.4;-12.2;-2.03;43,306;Adem Büyük - 1;Fernando Muslera;
GR;Lille;6;0;1;5;4;14;-10;1;8.8;10.1;-1.3;-0.22;48,208;Victor Osimhen - 2;Mike Maignan;
GR;Genk;6;0;1;5;5;20;-15;1;6.9;18.2;-11.3;-1.88;18,957;Mbwana Samatta - 3;Gaëtan Coucke;
