Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Attendance;Top Team Scorer;Goalkeeper;Notes
W;Real Madrid;13;10;2;1;41;10;31;32;78,426;Cristiano Ronaldo 17;Iker Casillas;? Champions League via playoff win
F;Atletico Madrid;13;7;5;1;26;10;16;26;43,994;Diego Costa 8;Thibaut Courtois;
SF;Bayern Munich;12;6;4;2;24;13;11;22;67,883;Thomas Muller 5;Manuel Neuer;
SF;Chelsea;12;4;5;3;19;10;9;17;39,531;Fernando Torres 4;Petr ?ech;
QF;Paris S-G;10;6;2;2;25;9;16;20;44,68;Zlatan Ibrahimovic 10;Salvatore Sirigu;
QF;Barcelona;10;5;3;2;21;8;13;18;76,033;Lionel Messi 8;Victor Valdes;
QF;Manchester Utd;10;5;3;2;17;9;8;18;74,594;Robin van Persie 4;David de Gea;
QF;Dortmund;10;5;2;3;18;13;5;17;65,829;Robert Lewandowski 6;Roman Weidenfeller;
R16;Zenit;12;4;5;3;23;17;6;17;17,542;Hulk 4;Yuri Lodygin;
R16;Arsenal;10;5;2;3;14;8;6;17;59,864;Olivier Giroud,Jack Wilshere... 2;Wojciech Szcz?sny;
R16;Manchester City;8;5;0;3;19;14;5;15;43,372;Sergio Aguero 6;Joe Hart;
R16;Schalke 04;10;4;2;4;12;18;-6;14;53,973;Julian Draxler 3;Ralf F�hrmann,�Timo Hildebrand;
R16;Olympiacos;8;4;1;3;12;11;1;13;30,632;Kostas Mitroglou,Chori Dominguez 3;Roberto;
R16;Milan;10;2;5;3;13;11;2;11;64,186;Kaka, Mario Balotelli 2;Christian Abbiati;
R16;Leverkusen;8;3;1;4;10;16;-6;10;27,867;Simon Rolfes 3;Bernd Leno;
R16;Galatasaray;8;2;2;4;9;17;-8;8;44,71;Umut Bulut 3;Fernando Muslera;
GR;Viktoria Plze?;12;6;1;5;26;24;2;19;10,88;Daniel Kolo, Marek Bako 1;Mat�� Koz�?ik;
GR;Basel;10;4;4;2;15;11;4;16;33,054;Mohamed Salah 2;Yann Sommer;
GR;Steaua;12;3;6;3;13;15;-2;15;37,081;Federico Piovaccari,Leandro Tatu 1;Ciprian T?t?ru?anu;
GR;Austria Wien;10;3;4;3;10;13;-3;13;40,225;Roman Kienast,Philipp Hosiner 2;Heinz Lindner;
GR;Napoli;6;4;0;2;10;9;1;12;42,98;Gonzalo Higuain 4;Pepe Reina;
GR;Celtic;12;3;3;6;12;16;-4;12;58,488;Beram Kayal, James Forrest... 1;Fraser Forster;
GR;Benfica;6;3;1;2;8;8;0;10;30,847;Filip ?uri?i?, Nicolas Gaitan... 1;Artur Moraes;
GR;Shakhtar;6;2;2;2;7;6;1;8;48,672;Alex Teixeira 3;Andriy Pyatov;
GR;Ajax;6;2;2;2;5;8;-3;8;54,866;Lasse 2;Jasper Cillessen;
GR;Juventus;6;1;3;2;9;9;0;6;36,469;Arturo Vidal 5;Gianluigi Buffon;
GR;Porto;6;1;2;3;4;7;-3;5;29,969;Lucho Gonzalez, Jackson Martinez 2;Helton Arruda;
GR;Real Sociedad;8;1;2;5;5;10;-5;5;28,3;Carlos Vela 1;Claudio Bravo;
GR;FC Copenhagen;6;1;1;4;4;13;-9;4;36,656;Nicolai Jorgensen, Daniel Braaten... 1;Johan Wiland;
GR;CSKA Moscow;6;1;0;5;8;17;-9;3;11,333;Keisuke Honda, Seydou Doumbia... 2;Igor Akinfeev;
GR;Anderlecht;6;0;1;5;4;17;-13;1;17,054;Massimo Bruno, Sacha Kljestan... 1;Thomas Kaminski,�Silvio Proto;
GR;Marseille;6;0;0;6;5;14;-9;0;38,275;Andre Ayew ;Steve Mandanda;
