Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,team_id,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av
W,Real Madrid,13,10,2,1,41,10,31,32,"78,426",48,1,0.7692307692307693,0.15384615384615385,0.07692307692307693,3.1538461538461537,0.7692307692307693,2.3846153846153846,2.4615384615384617
F,Atletico Madrid,13,7,5,1,26,10,16,26,"43,994",73,2,0.5384615384615384,0.38461538461538464,0.07692307692307693,2.0,0.7692307692307693,1.2307692307692308,2.0
SF,Bayern Munich,12,6,4,2,24,13,11,22,"67,883",14,4,0.5,0.3333333333333333,0.16666666666666666,2.0,1.0833333333333333,0.9166666666666666,1.8333333333333333
SF,Chelsea,12,4,5,3,19,10,9,17,"39,531",57,4,0.3333333333333333,0.4166666666666667,0.25,1.5833333333333333,0.8333333333333334,0.75,1.4166666666666667
QF,Paris S-G,10,6,2,2,25,9,16,20,"44,68",39,8,0.6,0.2,0.2,2.5,0.9,1.6,2.0
QF,Barcelona,10,5,3,2,21,8,13,18,"76,033",36,8,0.5,0.3,0.2,2.1,0.8,1.3,1.8
QF,Manchester Utd,10,5,3,2,17,9,8,18,"74,594",64,8,0.5,0.3,0.2,1.7,0.9,0.8,1.8
QF,Dortmund,10,5,2,3,18,13,5,17,"65,829",68,8,0.5,0.2,0.3,1.8,1.3,0.5,1.7
R16,Zenit,12,4,5,3,23,17,6,17,"17,542",53,16,0.3333333333333333,0.4166666666666667,0.25,1.9166666666666667,1.4166666666666667,0.5,1.4166666666666667
R16,Arsenal,10,5,2,3,14,8,6,17,"59,864",67,16,0.5,0.2,0.3,1.4,0.8,0.6,1.7
R16,Manchester City,8,5,0,3,19,14,5,15,"43,372",22,16,0.625,0.0,0.375,2.375,1.75,0.625,1.875
R16,Schalke 04,10,4,2,4,12,18,-6,14,"53,973",12,16,0.4,0.2,0.4,1.2,1.8,-0.6,1.4
R16,Olympiacos,8,4,1,3,12,11,1,13,"30,632",63,16,0.5,0.125,0.375,1.5,1.375,0.125,1.625
R16,Milan,10,2,5,3,13,11,2,11,"64,186",32,16,0.2,0.5,0.3,1.3,1.1,0.2,1.1
R16,Leverkusen,8,3,1,4,10,16,-6,10,"27,867",49,16,0.375,0.125,0.5,1.25,2.0,-0.75,1.25
R16,Galatasaray,8,2,2,4,9,17,-8,8,"44,71",17,16,0.25,0.25,0.5,1.125,2.125,-1.0,1.0
GR,Viktoria Plzen,12,6,1,5,26,24,2,19,"10,88",87,32,0.5,0.08333333333333333,0.4166666666666667,2.1666666666666665,2.0,0.16666666666666666,1.5833333333333333
GR,Basel,10,4,4,2,15,11,4,16,"33,054",84,32,0.4,0.4,0.2,1.5,1.1,0.4,1.6
GR,Steaua,12,3,6,3,13,15,-2,15,"37,081",38,32,0.25,0.5,0.25,1.0833333333333333,1.25,-0.16666666666666666,1.25
GR,Austria Wien,10,3,4,3,10,13,-3,13,"40,225",2,32,0.3,0.4,0.3,1.0,1.3,-0.3,1.3
GR,Napoli,6,4,0,2,10,9,1,12,"42,98",40,32,0.6666666666666666,0.0,0.3333333333333333,1.6666666666666667,1.5,0.16666666666666666,2.0
GR,Celtic,12,3,3,6,12,16,-4,12,"58,488",54,32,0.25,0.25,0.5,1.0,1.3333333333333333,-0.3333333333333333,1.0
GR,Benfica,6,3,1,2,8,8,0,10,"30,847",10,32,0.5,0.16666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.6666666666666667
GR,Shakhtar,6,2,2,2,7,6,1,8,"48,672",8,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.1666666666666667,1.0,0.16666666666666666,1.3333333333333333
GR,Ajax,6,2,2,2,5,8,-3,8,"54,866",42,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.3333333333333333,-0.5,1.3333333333333333
GR,Juventus,6,1,3,2,9,9,0,6,"36,469",80,32,0.16666666666666666,0.5,0.3333333333333333,1.5,1.5,0.0,1.0
GR,Porto,6,1,2,3,4,7,-3,5,"29,969",41,32,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,1.1666666666666667,-0.5,0.8333333333333334
GR,Real Sociedad,8,1,2,5,5,10,-5,5,"28,3",56,32,0.125,0.25,0.625,0.625,1.25,-0.625,0.625
GR,FC Copenhagen,6,1,1,4,4,13,-9,4,"36,656",15,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,2.1666666666666665,-1.5,0.6666666666666666
GR,CSKA Moscow,6,1,0,5,8,17,-9,3,"11,333",83,32,0.16666666666666666,0.0,0.8333333333333334,1.3333333333333333,2.8333333333333335,-1.5,0.5
GR,Anderlecht,6,0,1,5,4,17,-13,1,"17,054",25,32,0.0,0.16666666666666666,0.8333333333333334,0.6666666666666666,2.8333333333333335,-2.1666666666666665,0.16666666666666666
GR,Marseille,6,0,0,6,5,14,-9,0,"38,275",52,32,0.0,0.0,1.0,0.8333333333333334,2.3333333333333335,-1.5,0.0
