Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,team_id,UEFA points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av
W,Real Madrid,13,9,3,1,28,6,22,30,"72,831",48,33,1,0.6923076923076923,0.23076923076923078,0.07692307692307693,2.1538461538461537,0.46153846153846156,1.6923076923076923,2.3076923076923075
F,Atletico Madrid,13,6,4,3,17,8,9,22,"44,276",73,28,2,0.46153846153846156,0.3076923076923077,0.23076923076923078,1.3076923076923077,0.6153846153846154,0.6923076923076923,1.6923076923076923
SF,Bayern Munich,12,8,2,2,30,11,19,26,70,14,29,4,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.5,0.9166666666666666,1.5833333333333333,2.1666666666666665
SF,Manchester City,12,6,3,3,18,12,6,21,"47,779",22,26,4,0.5,0.25,0.25,1.5,1.0,0.5,1.75
QF,Barcelona,10,7,2,1,22,8,14,23,"74,651",36,26,8,0.7,0.2,0.1,2.2,0.8,1.4,2.3
QF,Wolfsburg,10,7,0,3,15,11,4,21,"23,951",7,24,8,0.7,0.0,0.3,1.5,1.1,0.4,2.1
QF,Paris S-G,10,6,2,2,18,6,12,20,"46,322",39,24,8,0.6,0.2,0.2,1.8,0.6,1.2,2.0
QF,Benfica,10,5,2,3,15,12,3,17,"45,581",10,22,8,0.5,0.2,0.3,1.5,1.2,0.3,1.7
R16,Zenit,8,5,0,3,14,9,5,15,"17,575",53,19,16,0.625,0.0,0.375,1.75,1.125,0.625,1.875
R16,Chelsea,8,4,1,3,15,7,8,13,"40,153",57,18,16,0.5,0.125,0.375,1.875,0.875,1.0,1.625
R16,Dynamo Kyiv,8,3,3,2,9,7,2,12,"41,706",89,18,16,0.375,0.375,0.25,1.125,0.875,0.25,1.5
R16,Juventus,8,3,3,2,10,9,1,12,"39,241",80,18,16,0.375,0.375,0.25,1.25,1.125,0.125,1.5
R16,PSV Eindhoven,8,3,3,2,8,7,1,12,"34,81",19,18,16,0.375,0.375,0.25,1.0,0.875,0.125,1.5
R16,Gent,8,3,1,4,10,11,-1,10,"19,752",37,16,16,0.375,0.125,0.5,1.25,1.375,-0.125,1.25
R16,Arsenal,8,3,0,5,13,15,-2,9,"57,029",67,15,16,0.375,0.0,0.625,1.625,1.875,-0.25,1.125
R16,Roma,8,1,3,4,11,20,-9,6,"45,324",79,14,16,0.125,0.375,0.5,1.375,2.5,-1.125,0.75
GR,BATE Borisov,12,4,4,4,11,16,-5,16,"12,814",23,8,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9166666666666666,1.3333333333333333,-0.4166666666666667,1.3333333333333333
GR,FC Astana,12,3,6,3,14,17,-3,15,"23,861",65,8,32,0.25,0.5,0.25,1.1666666666666667,1.4166666666666667,-0.25,1.25
GR,Dinamo Zagreb,12,4,3,5,17,21,-4,15,"17,066",20,6,32,0.3333333333333333,0.25,0.4166666666666667,1.4166666666666667,1.75,-0.3333333333333333,1.25
GR,Manchester Utd,8,4,2,2,14,8,6,14,"75,099",64,13,32,0.5,0.25,0.25,1.75,1.0,0.75,1.75
GR,Malmo,12,4,1,7,9,26,-17,13,"20,5",59,6,32,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.75,2.1666666666666665,-1.4166666666666667,1.0833333333333333
GR,CSKA Moscow,10,3,2,5,14,16,-2,11,"17,019",83,7,32,0.3,0.2,0.5,1.4,1.6,-0.2,1.1
GR,Shakhtar,10,3,2,5,13,16,-3,11,"30,144",8,20,32,0.3,0.2,0.5,1.3,1.6,-0.3,1.1
GR,Porto,6,3,1,2,9,8,1,10,"37,516",41,11,32,0.5,0.16666666666666666,0.3333333333333333,1.5,1.3333333333333333,0.16666666666666666,1.6666666666666667
GR,Leverkusen,8,2,3,3,16,13,3,9,"27,701",49,14,32,0.25,0.375,0.375,2.0,1.625,0.375,1.125
GR,Valencia,8,3,0,5,9,12,-3,9,"32,902",45,14,32,0.375,0.0,0.625,1.125,1.5,-0.375,1.125
GR,Olympiacos,6,3,0,3,6,13,-7,9,"31,516",63,10,32,0.5,0.0,0.5,1.0,2.1666666666666665,-1.1666666666666667,1.5
GR,Maccabi Tel Aviv,12,2,2,8,13,24,-11,8,"27,622",61,4,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.0833333333333333,2.0,-0.9166666666666666,0.6666666666666666
GR,Sevilla,6,2,0,4,8,11,-3,6,"37,267",50,23,32,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,1.8333333333333333,-0.5,1.0
GR,M'Gladbach,6,1,2,3,8,12,-4,5,"45,87",51,8,32,0.16666666666666666,0.3333333333333333,0.5,1.3333333333333333,2.0,-0.6666666666666666,0.8333333333333334
GR,Galatasaray,6,1,2,3,6,10,-4,5,"31,182",17,9,32,0.16666666666666666,0.3333333333333333,0.5,1.0,1.6666666666666667,-0.6666666666666666,0.8333333333333334
GR,Lyon,6,1,1,4,5,9,-4,4,"31,304",34,7,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,1.5,-0.6666666666666666,0.6666666666666666
