Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,team_id,UEFA points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av,xG_av,xGA_av,xGD_av
W,Bayern Munich,11,11,0,0,43,8,35,33,35.5,10.2,25.3,2.3,50,14,36,1,1.0,0.0,0.0,3.909090909090909,0.7272727272727273,3.1818181818181817,3.0,3.227272727272727,0.9272727272727272,2.3000000000000003
F,Paris S-G,11,8,1,2,25,6,19,25,26.2,12.3,13.9,1.27,"28,058",39,31,2,0.7272727272727273,0.09090909090909091,0.18181818181818182,2.272727272727273,0.5454545454545454,1.7272727272727273,2.272727272727273,2.381818181818182,1.1181818181818182,1.2636363636363637
SF,RB Leipzig,10,6,2,2,16,12,4,20,18.0,13.0,5.0,0.5,"32,347",27,27,4,0.6,0.2,0.2,1.6,1.2,0.4,2.0,1.8,1.3,0.5
SF,Lyon,10,4,2,4,14,14,0,14,12.7,18.4,-5.7,-0.57,"41,78",34,23,4,0.4,0.2,0.4,1.4,1.4,0.0,1.4,1.27,1.8399999999999999,-0.5700000000000001
QF,Manchester City,9,6,2,1,21,9,12,20,25.1,7.9,17.2,1.91,"37,594",22,25,8,0.6666666666666666,0.2222222222222222,0.1111111111111111,2.3333333333333335,1.0,1.3333333333333333,2.2222222222222223,2.788888888888889,0.8777777777777778,1.911111111111111
QF,Barcelona,9,5,3,1,15,14,1,18,14.4,17.9,-3.5,-0.39,"60,809",36,24,8,0.5555555555555556,0.3333333333333333,0.1111111111111111,1.6666666666666667,1.5555555555555556,0.1111111111111111,2.0,1.6,1.9888888888888887,-0.3888888888888889
QF,Atletico Madrid,9,5,1,3,13,9,4,16,15.3,9.1,6.1,0.68,"62,232",73,22,8,0.5555555555555556,0.1111111111111111,0.3333333333333333,1.4444444444444444,1.0,0.4444444444444444,1.7777777777777777,1.7000000000000002,1.011111111111111,0.6777777777777777
QF,Atalanta,9,4,1,4,17,18,-1,13,17.7,18.9,-1.2,-0.14,"32,77",69,20,8,0.4444444444444444,0.1111111111111111,0.4444444444444444,1.8888888888888888,2.0,-0.1111111111111111,1.4444444444444444,1.9666666666666666,2.0999999999999996,-0.13333333333333333
R16,Juventus,8,6,1,1,14,6,8,19,12.0,10.9,1.2,0.15,"28,39",80,22,16,0.75,0.125,0.125,1.75,0.75,1.0,2.375,1.5,1.3625,0.15
R16,Napoli,8,3,4,1,13,8,5,13,14.9,11.0,3.9,0.48,"34,598",40,19,16,0.375,0.5,0.125,1.625,1.0,0.625,1.625,1.8625,1.375,0.4875
R16,Liverpool,8,4,1,3,15,12,3,13,16.2,8.8,7.4,0.92,"52,312",60,18,16,0.5,0.125,0.375,1.875,1.5,0.375,1.625,2.025,1.1,0.925
R16,Dortmund,8,4,1,3,10,11,-1,13,14.4,13.1,1.4,0.17,"65,844",68,18,16,0.5,0.125,0.375,1.25,1.375,-0.125,1.625,1.8,1.6375,0.175
R16,Real Madrid,8,3,2,3,16,12,4,11,16.6,13.7,2.8,0.36,"70,438",48,17,16,0.375,0.25,0.375,2.0,1.5,0.5,1.375,2.075,1.7125,0.35
R16,Valencia,8,3,2,3,13,15,-2,11,14.7,15.7,-1.0,-0.13,"31,599",45,17,16,0.375,0.25,0.375,1.625,1.875,-0.25,1.375,1.8375,1.9625,-0.125
R16,Chelsea,8,3,2,3,12,16,-4,11,17.5,12.7,4.7,0.59,"38,845",57,17,16,0.375,0.25,0.375,1.5,2.0,-0.5,1.375,2.1875,1.5875,0.5875
R16,Tottenham,8,3,1,4,18,18,0,10,14.5,11.2,3.3,0.42,"57,247",81,16,16,0.375,0.125,0.5,2.25,2.25,0.0,1.25,1.8125,1.4,0.4125
GR,Ajax,6,3,1,2,12,6,6,10,7.5,13.8,-6.3,-1.05,"51,951",42,13,32,0.5,0.16666666666666666,0.3333333333333333,2.0,1.0,1.0,1.6666666666666667,1.25,2.3000000000000003,-1.05
GR,RB Salzburg,6,2,1,3,16,13,3,7,13.7,11.9,1.8,0.3,"29,52",77,10,32,0.3333333333333333,0.16666666666666666,0.5,2.6666666666666665,2.1666666666666665,0.5,1.1666666666666667,2.283333333333333,1.9833333333333334,0.3
GR,Inter,6,2,1,3,10,9,1,7,10.0,10.3,-0.3,-0.05,"62,54",43,25,32,0.3333333333333333,0.16666666666666666,0.5,1.6666666666666667,1.5,0.16666666666666666,1.1666666666666667,1.6666666666666667,1.7166666666666668,-0.049999999999999996
GR,Benfica,6,2,1,3,10,11,-1,7,8.1,9.4,-1.3,-0.22,"46,576",10,10,32,0.3333333333333333,0.16666666666666666,0.5,1.6666666666666667,1.8333333333333333,-0.16666666666666666,1.1666666666666667,1.3499999999999999,1.5666666666666667,-0.21666666666666667
