Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,team_id,UEFA points,Total points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av,xG_av,xGA_av,xGD_av
R16,Manchester City,6,6,0,0,18,7,11,18,17.0,3.3,13.7,2.28,W,"50,885",22,23,143.0,16,1.0,0.0,0.0,3.0,1.1666666666666667,1.8333333333333333,3.0,2.8333333333333335,0.5499999999999999,2.283333333333333
R16,Real Madrid,6,6,0,0,16,7,10,18,15.0,7.6,7.4,1.23,W,"69,093",48,23,125.0,16,1.0,0.0,0.0,2.6666666666666665,1.1666666666666667,1.6666666666666667,3.0,2.5,1.2666666666666666,1.2333333333333334
R16,Bayern Munich,6,5,1,0,12,6,6,16,9.3,6.8,2.4,0.4,W,75,14,20,136.0,16,0.8333333333333334,0.16666666666666666,0.0,2.0,1.0,1.0,2.6666666666666665,1.55,1.1333333333333333,0.39999999999999997
R16,Atletico Madrid,6,4,2,0,17,6,11,14,9.3,6.5,2.7,0.46,W,"62,06",73,19,84.0,16,0.6666666666666666,0.3333333333333333,0.0,2.8333333333333335,1.0,1.8333333333333333,2.3333333333333335,1.55,1.0833333333333333,0.45
R16,Arsenal,6,4,1,1,16,4,12,13,10.7,3.8,7.0,1.16,L,"59,624",67,18,68.0,16,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.6666666666666665,0.6666666666666666,2.0,2.1666666666666665,1.7833333333333332,0.6333333333333333,1.1666666666666667
R16,Lazio,6,3,1,2,7,7,0,10,8.6,7.1,1.4,0.24,L,"47,701",86,18,54.0,16,0.5,0.16666666666666666,0.3333333333333333,1.1666666666666667,1.1666666666666667,0.0,1.6666666666666667,1.4333333333333333,1.1833333333333333,0.2333333333333333
R16,Porto,6,4,0,2,15,8,7,12,9.8,6.3,3.5,0.58,W,"47,555",41,17,75.0,16,0.6666666666666666,0.0,0.3333333333333333,2.5,1.3333333333333333,1.1666666666666667,2.0,1.6333333333333335,1.05,0.5833333333333334
R16,Barcelona,6,4,0,2,12,6,6,12,10.5,5.6,4.9,0.82,L,"41,977",36,17,85.0,16,0.6666666666666666,0.0,0.3333333333333333,2.0,1.0,1.0,2.0,1.75,0.9333333333333332,0.8166666666666668
R16,Inter,6,3,3,0,8,5,3,12,12.3,5.3,7.0,1.17,W,"69,136",43,18,99.0,16,0.5,0.5,0.0,1.3333333333333333,0.8333333333333334,0.5,2.0,2.0500000000000003,0.8833333333333333,1.1666666666666667
R16,Real Sociedad,6,3,3,0,7,2,5,12,8.7,3.8,5.0,0.83,D,"35,942",56,18,51.0,16,0.5,0.5,0.0,1.1666666666666667,0.3333333333333333,0.8333333333333334,2.0,1.45,0.6333333333333333,0.8333333333333334
