Rank,Team,Country,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,22/23,23/24,Title points,Total points,Country part
1.0,Real Madrid,Esp,29.0,33.0,33.0,32.0,19.0,17.0,26.0,30.0,29.0,23.0,94.0,125.0,37.986
2.0,Bayern Munich,Ger,28.0,29.0,22.0,29.0,20.0,36.0,27.0,26.0,27.0,20.0,43.0,136.0,30.624
3.0,Barcelona,Esp,34.0,26.0,23.0,25.0,30.0,24.0,20.0,15.0,9.0,17.0,41.0,85.0,37.986
4.0,Manchester City,Eng,15.0,26.0,18.0,22.0,25.0,25.0,35.0,27.0,33.0,23.0,13.0,143.0,37.253
5.0,Liverpool,Eng,10.0,22.0,,30.0,29.0,18.0,24.0,33.0,19.0,13.0,36.0,107.0,37.253
6.0,Juventus,Ita,29.0,18.0,33.0,23.0,21.0,22.0,21.0,20.0,17.0,,17.0,80.0,31.744
7.0,Atletico Madrid,Esp,22.0,28.0,29.0,28.0,20.0,22.0,16.0,19.0,8.0,19.0,7.0,84.0,37.986
8.0,Paris S-G,Fra,21.0,24.0,20.0,19.0,19.0,31.0,24.0,19.0,19.0,17.0,2.0,110.0,24.265
9.0,Chelsea,Eng,21.0,18.0,,18.0,30.0,17.0,33.0,25.0,21.0,,27.0,96.0,37.253
10.0,Sevilla,Esp,28.0,23.0,19.0,21.0,13.0,26.0,19.0,12.0,21.0,6.0,16.0,84.0,37.986
11.0,Manchester Utd,Eng,,13.0,26.0,20.0,19.0,22.0,26.0,18.0,19.0,7.0,23.0,92.0,37.253
12.0,Porto,Por,25.0,11.0,17.0,17.0,23.0,7.0,23.0,10.0,18.0,17.0,16.0,75.0,20.409
13.0,Dortmund,Ger,18.0,17.0,22.0,10.0,18.0,18.0,22.0,10.0,18.0,17.0,9.0,85.0,30.624
14.0,Roma,Ita,12.0,14.0,13.0,25.0,17.0,11.0,24.0,23.0,22.0,11.0,,91.0,31.744
15.0,Arsenal,Eng,20.0,15.0,19.0,21.0,26.0,10.0,23.0,,17.0,18.0,2.0,68.0,37.253
16.0,Napoli,Ita,22.0,13.0,17.0,10.0,18.0,19.0,10.0,9.0,25.0,16.0,1.0,79.0,31.744
17.0,Ajax,Ned,14.0,6.0,22.0,1.5,27.0,13.0,19.0,22.0,8.0,4.0,22.0,66.0,18.546
18.0,Inter,Ita,12.0,,4.0,,15.0,25.0,9.0,18.0,29.0,18.0,21.0,99.0,31.744
,Villarreal,Esp,12.0,23.0,9.0,8.0,16.0,,30.0,24.0,12.0,14.0,3.0,80.0,37.986
20.0,Benfica,Por,8.0,22.0,17.0,4.0,17.0,10.0,10.0,20.0,25.0,7.0,8.0,72.0,20.409
21.0,Shakhtar,Ukr,17.0,20.0,14.0,19.0,10.0,22.0,14.0,6.0,11.0,10.0,2.0,63.0,13.38
22.0,Leverkusen,Ger,18.0,14.0,18.0,,11.0,18.0,10.0,14.0,19.0,17.0,1.0,78.0,30.624
23.0,Tottenham,Eng,9.0,12.0,10.0,21.0,26.0,16.0,15.0,5.0,18.0,,3.0,54.0,37.253
24.0,RB Leipzig,Ger,,,,17.0,5.0,27.0,17.0,17.0,18.0,17.0,,96.0,30.624
25.0,Milan,Ita,,,,12.0,7.0,,12.0,7.0,24.0,10.0,42.0,53.0,31.744
26.0,Basel,Sui,15.0,12.0,6.0,19.0,2.5,19.0,2.5,12.0,17.0,1.5,,52.0,11.775
27.0,Lyon,Fra,1.5,7.0,22.0,14.0,17.0,23.0,,21.0,,,,44.0,24.265
28.0,RB Salzburg,Aut,11.0,1.5,5.0,21.0,16.0,10.0,7.0,17.0,9.0,7.0,,50.0,12.65
29.0,Sporting CP,Por,10.0,7.0,6.0,17.0,10.0,10.0,2.5,16.0,14.0,10.0,1.0,52.5,20.409
