Year,League Gls,League Ast,League GHA,League G-PK,League G+A-PK,League Gls OP,League Ast OP,League GHA OP,League G-PK OP,League G+A-PK OP
2024,2.39,1.68,4.07,2.11,3.79,0.82,0.64,1.46,0.79,1.43
2023,2.21,1.68,3.89,2.13,3.82,1.11,0.71,1.82,1.03,1.74
2022,1.58,1.08,2.66,1.45,2.53,1.24,0.87,2.11,1.11,1.97
2021,1.39,1.00,2.39,1.24,2.24,0.92,0.66,1.58,0.87,1.53
2020,1.47,0.92,2.39,1.39,2.32,1.26,0.79,2.05,1.08,1.87
2019,1.82,1.37,3.18,1.71,3.08,1.32,0.84,2.16,1.13,1.97
2018,1.92,1.61,3.53,1.82,3.42,1.34,1.00,2.34,1.21,2.21
2017,1.92,1.45,3.37,1.82,3.26,1.13,0.61,1.74,0.87,1.47	
2016,1.63,1.39,3.03,1.61,3.00,0.87,0.66,1.53,0.84,1.50	
2015,1.82,1.24,3.05,1.66,2.89,0.92,0.63,1.55,0.84,1.47	
