Year,League Gls,League Ast,League GHA,League G-PK,League G+A-PK,League Gls OP,League Ast OP,League GHA OP,League G-PK OP,League G+A-PKLeague OP
2024,1.83,1.31,3.14,1.69,3.00,1.17,0.86,2.03,1.14,2.00
2023,1.79,1.34,3.13,1.76,3.11,0.87,0.58,1.45,0.76,1.34
2022,1.66,1.18,2.84,1.55,2.74,1.05,0.74,1.79,0.87,1.61
2021,1.71,1.42,3.13,1.58,3.00,0.58,0.39,0.97,0.55,0.95
2020,1.32,0.92,2.24,1.16,2.08,0.63,0.39,1.03,0.55,0.95
2019,1.39,0.95,2.34,1.32,2.26,0.71,0.39,1.11,0.58,0.97
2018,1.50,1.08,2.58,1.39,2.47,0.55,0.45,1.00,0.53,0.97
2017,1.84,1.42,3.26,1.79,3.21,0.71,0.39,1.11,0.63,1.03
2016,1.63,1.24,2.87,1.61,2.84,0.47,0.32,0.79,0.45,0.76
2015,1.71,1.26,2.97,1.58,2.84,0.71,0.53,1.24,0.63,1.16
