Year,League Gls,League Ast,League GHA,League G-PK,League G+A-PK,League Gls OP,League Ast OP,League GHA OP,League G-PK OP,League G+A-PK OP
2024,1.97,1.45,3.41,1.83,3.28,1.17,0.97,2.14,1.17,2.14
2023,1.82,1.47,3.29,1.82,3.29,0.45,0.26,0.71,0.37,0.63
2022,1.79,1.37,3.16,1.63,3.00,1.00,0.71,1.71,0.95,1.66
2021,2.11,1.34,3.45,2.00,3.34,0.95,0.53,1.47,0.82,1.34
2020,2.21,1.63,3.84,2.05,3.68,1.00,0.55,1.55,0.84,1.39
2019,2.32,1.61,3.92,2.11,3.71,0.92,0.66,1.58,0.87,1.53
2018,2.53,1.95,4.47,2.45,4.39,0.76,0.58,1.34,0.71,1.29
2017,2.97,1.87,4.84,2.76,4.63,0.92,0.63,1.55,0.92,1.55	
2016,2.87,1.95,4.82,2.58,4.53,0.71,0.55,1.26,0.68,1.24
2015,2.82,2.08,4.89,2.66,4.74,0.50,0.26,0.76,0.39,0.66
