Year,League Gls,League Ast,League GHA,League G-PK,League G+A-PK,League Gls OP,League Ast OP,League GHA OP,League G-PK OP,League G+A-PK OP
2024,2.96,2.27,5.23,2.85,5.12,1.19,0.85,2.04,1.08,1.92
2023,2.65,1.97,4.62,2.56,4.53,1.12,0.65,1.76,0.85,1.50
2022,2.71,2.06,4.76,2.56,4.6,1.06,0.82,1.88,1.00,1.82
2021,2.88,2.21,5.09,2.62,4.82,1.29,1.21,2.50,1.26,2.47
2020,2.85,2.21,5.06,2.68,4.88,0.91,0.68,1.59,0.82,1.50
2019,2.53,1.82,4.35,2.44,4.26,0.91,0.65,1.56,0.76,1.41
2018,2.65,2.12,4.76,2.47,4.59,0.74,0.53,1.26,0.71,1.24
2017,2.59,1.88,4.47,2.44,4.32,0.65,0.44,1.09,0.59,1.03	
2016,2.32,1.59,3.91,2.09,3.68,0.47,0.38,0.85,0.44,0.82
2015,2.29,1.44,3.74,2.12,3.56,0.53,0.44,0.97,0.53,0.97	
