Year,League Gls,League Ast,League GHA,League G-PK,League G+A-PK,League Gls OP,League Ast OP,League GHA OP,League G-PK OP,League G+A-PK OP
2024,2.04,1.50,3.54,1.85,3.35,1.15,0.73,1.88,0.96,1.69
2023,2.38,1.79,4.18,2.26,4.06,1.26,0.91,2.18,1.24,2.15
2022,2.38,1.68,4.06,2.06,3.74,1.47,0.94,2.41,1.29,2.24
2021,2.18,1.68,3.85,2.09,3.76,1.32,0.97,2.29,1.15,2.12
2020,2.47,2.18,4.65,2.41,4.59,1.12,0.79,1.91,1.03,1.82	
2019,2.35,1.76,4.12,2.24,4.00,1.29,0.74,2.03,1.18,1.91
2018,1.82,1.29,3.12,1.74,3.03,1.38,1.03,2.41,1.29,2.32
2017,2.09,1.44,3.53,1.94,3.38,1.15,0.88,2.03,1.09,1.97
2016,2.35,1.88,4.24,2.24,4.12,0.97,0.65,1.62,0.85,1.50	
2015,1.35,1.15,2.50,1.29,2.44,1.21,0.79,2.00,1.15,1.94	
