Year,League Gls,League Ast,League GHA,League G-PK,League G+A-PK,League Gls OP,League Ast OP,League GHA OP,League G-PK OP,League G+A-PKLeague OP
2024,2.21,1.68,3.89,2.07,3.75,0.96,0.71,1.68,0.86,1.57
2023,2.42,1.82,4.24,2.18,4.00,0.84,0.55,1.39,0.76,1.32
2022,2.53,1.66,4.18,2.34,4.00,0.68,0.61,1.29,0.66,1.26
2021,2.16,1.45,3.61,2.03,3.47,0.82,0.45,1.26,0.61,1.05
2020,2.63,1.82,4.45,2.47,4.29,0.89,0.66,1.55,0.82,1.47
2019,2.39,1.87,4.26,2.32,4.18,0.61,0.37,0.97,0.50,0.87
2018,2.71,2.24,4.95,2.55,4.79,0.66,0.45,1.11,0.66,1.11
2017,1.97,1.42,3.39,1.79,3.21,1.00,0.76,1.76,0.95,1.71
2016,1.87,1.39,3.26,1.74,3.13,1.03,0.82,1.84,1.00,1.82
2015,2.16,1.61,3.76,1.97,3.58,0.92,0.58,1.50,0.84,1.42
