Year,League Gls,League Ast,League GHA,League G-PK,League G+A-PK,League Gls OP,League Ast OP,League GHA OP,League G-PK OP,League G+A-PK OP
2024,2.14,1.62,3.76,2.10,3.72,0.66,0.45,1.10,0.62,1.07
2023,1.92,1.47,3.39,168,3.16,0.92,0.55,1.47,0.82,1.37
2022,2.11,1.55,3.66,1.89,3.45,0.82,0.53,1.34,0.74,1.2
2021,1.68,1.39,3.08,1.61,3.00,0.71,0.45,1.16,0.53,0.97
2020,1.82,1.37,3.18,1.53,2.89,0.66,0.55,1.21,0.61,1.16
2019,1.61,1.03,2.63,1.37,2.39,1.21,0.84,2.05,1.05,1.89
2018,2.39,1.71,4.11,2.18,3.89,1.11,0.89,2.00,1.05,1.95
2017,2.79,2.18,4.97,2.63,4.82,1.05,0.79,1.84,1.00,1.79
2016,2.84,2.26,5.11,2.68,4.95,0.89,0.74,1.63,0.87,1.61
2015,3.05,2.39,5.45,2.76,5.16,1.00,0.74,1.74,0.89,1.63

