Rank,Team,Country,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,22/23,23/24,Title points,Total points,Country part
1,Real Madrid,Esp,29.00,33.00,33.00,32.00,19.00,17.00,26.00,30.00,29.00,23.00,94.00,365.000,37.986
2,Bayern MÃ¼nchen,Ger,28.00,29.00,22.00,29.00,20.00,36.00,27.00,26.00,27.00,20.00,43.00,307.000,30.624
3,FC Barcelona,Esp,34.00,26.00,23.00,25.00,30.00,24.00,20.00,15.00,9.00,17.00,41.00,264.000,37.986
4,Manchester City,Eng,15.00,26.00,18.00,22.00,25.00,25.00,35.00,27.00,33.00,23.00,13.00,262.000,37.253
5,Liverpool,Eng,10.00,22.00,,30.00,29.00,18.00,24.00,33.00,19.00,13.00,36.00,234.000,37.253
6,Juventus,Ita,29.00,18.00,33.00,23.00,21.00,22.00,21.00,20.00,17.00,,17.00,221.000,31.744
7,AtlÃ©tico Madrid,Esp,22.00,28.00,29.00,28.00,20.00,22.00,16.00,19.00,8.00,19.00,7.00,218.000,37.986
8,Paris Saint-Germain,Fra,21.00,24.00,20.00,19.00,19.00,31.00,24.00,19.00,19.00,17.00,2.00,215.000,24.265
9,Chelsea,Eng,21.00,18.00,,18.00,30.00,17.00,33.00,25.00,21.00,,27.00,210.000,37.253
10,Sevilla,Esp,28.00,23.00,19.00,21.00,13.00,26.00,19.00,12.00,21.00,6.00,16.00,204.000,37.986
11,Manchester United,Eng,,13.00,26.00,20.00,19.00,22.00,26.00,18.00,19.00,7.00,23.00,193.000,37.253
12,FC Porto,Por,25.00,11.00,17.00,17.00,23.00,7.00,23.00,10.00,18.00,17.00,16.00,184.000,20.409
13,Borussia Dortmund,Ger,18.00,17.00,22.00,10.00,18.00,18.00,22.00,10.00,18.00,17.00,9.00,179.000,30.624
14,AS Roma,Ita,12.00,14.00,13.00,25.00,17.00,11.00,24.00,23.00,22.00,11.00,,172.000,31.744
15,Arsenal,Eng,20.00,15.00,19.00,21.00,26.00,10.00,23.00,,17.00,18.00,2.00,171.000,37.253
16,Napoli,Ita,22.00,13.00,17.00,10.00,18.00,19.00,10.00,9.00,25.00,16.00,1.00,160.000,31.744
17,Ajax,Ned,14.00,6.00,22.00,1.50,27.00,13.00,19.00,22.00,8.00,4.00,22.00,158.500,18.546
18,Internazionale,Ita,12.00,,4.00,,15.00,25.00,9.00,18.00,29.00,18.00,21.00,151.000,31.744
,Villarreal,Esp,12.00,23.00,9.00,8.00,16.00,,30.00,24.00,12.00,14.00,3.00,151.000,37.986
20,Benfica,Por,8.00,22.00,17.00,4.00,17.00,10.00,10.00,20.00,25.00,7.00,8.00,148.000,20.409
21,Shakhtar Donetsk,Ukr,17.00,20.00,14.00,19.00,10.00,22.00,14.00,6.00,11.00,10.00,2.00,145.000,13.380
22,Bayer Leverkusen,Ger,18.00,14.00,18.00,,11.00,18.00,10.00,14.00,19.00,17.00,1.00,140.000,30.624
23,Tottenham Hotspur,Eng,9.00,12.00,10.00,21.00,26.00,16.00,15.00,5.00,18.00,,3.00,135.000,37.253
24,RB Leipzig,Ger,,,,17.00,5.00,27.00,17.00,17.00,18.00,17.00,,118.000,30.624
25,AC Milan,Ita,,,,12.00,7.00,,12.00,7.00,24.00,10.00,42.00,114.000,31.744
26,FC Basel,Sui,15.00,12.00,6.00,19.00,2.50,19.00,2.50,12.00,17.00,1.50,,106.500,11.775
27,Olympique Lyon,Fra,1.50,7.00,22.00,14.00,17.00,23.00,,21.00,,,,105.500,24.265
28,FC Salzburg,Aut,11.00,1.50,5.00,21.00,16.00,10.00,7.00,17.00,9.00,7.00,,104.500,12.650
29,Sporting CP Lisbon,Por,10.00,7.00,6.00,17.00,10.00,10.00,2.50,16.00,14.00,10.00,1.00,103.500,20.409
30,Zenit St. Petersburg,Rus,17.00,19.00,12.00,14.00,10.00,9.00,5.00,8.00,,,2.00,96.000,13.836
31,Club Brugge,Bel,19.00,4.00,4.00,1.50,11.00,8.00,11.00,7.00,17.00,13.00,,95.500,17.220
32,PSV Eindhoven,Ned,6.00,18.00,6.00,1.00,6.00,6.00,10.00,10.00,11.00,16.00,5.00,95.000,18.546
33,Dynamo Kyiv,Ukr,16.00,18.00,8.00,12.00,11.00,6.00,10.00,5.00,3.00,2.50,2.00,93.500,13.380
34,Lazio,Ita,,14.00,,17.00,6.00,4.00,17.00,9.00,6.00,18.00,2.00,93.000,31.744
35,Eintracht Frankfurt,Ger,,,,,24.00,9.00,,28.00,16.00,7.00,4.00,88.000,30.624
36,Feyenoord,Ned,9.00,,5.00,6.00,2.00,4.00,4.00,24.00,17.00,8.00,7.00,86.000,18.546
,AS Monaco,Fra,21.00,5.00,25.00,6.00,5.00,,,15.00,9.00,,,86.000,24.265
38,FC KÃ¸benhavn,Den,3.00,1.00,16.00,7.00,4.00,14.00,2.50,13.00,7.00,15.00,,82.500,11.695
39,Atalanta,Ita,,,,11.00,2.50,20.00,17.00,16.00,,15.00,,81.500,31.744
